country_code,country_name_tourism,year,value,indicator,country_name_wdi,EN.POP.DNST,IS.AIR.PSGR,IT.NET.USER.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SH.MED.BEDS.ZS,SH.XPD.CHEX.PC.CD,SP.DYN.LE00.IN,SP.POP.TOTL
4E,East Asia & Pacific (excluding high income),2018,281129640.985927,ST.INT.ARVL,East Asia & Pacific (excluding high income),131.409868337961,964324620.095903,55.0,16902106236749.5,6.53719009221585,8045.94448809301,3.65628208560456,388.609815983208,75.57828618156,2100698838.0
T4,East Asia & Pacific (IDA & IBRD countries),2024,,ST.INT.ARVL,East Asia & Pacific (IDA & IBRD countries),,,78.8,22233410782170.8,4.96260711576491,10513.9755660123,,,,2114653077.0
T4,East Asia & Pacific (IDA & IBRD countries),2023,,ST.INT.ARVL,East Asia & Pacific (IDA & IBRD countries),,,76.5,21617377390319.4,5.25471763539007,10239.674334039,,,75.9085643603807,2111139152.0
T4,East Asia & Pacific (IDA & IBRD countries),2022,,ST.INT.ARVL,East Asia & Pacific (IDA & IBRD countries),132.689192865033,,74.4,21536968352300.0,3.54531588499279,10220.360503609,,510.508082812985,75.9610347461336,2107261123.0
T4,East Asia & Pacific (IDA & IBRD countries),2021,,ST.INT.ARVL,East Asia & Pacific (IDA & IBRD countries),132.37999364036,516083074.028,71.3,21205315189717.1,7.71948607337309,10086.4785164265,,514.747413642451,75.3009806060199,2102350702.0
T4,East Asia & Pacific (IDA & IBRD countries),2020,,ST.INT.ARVL,East Asia & Pacific (IDA & IBRD countries),132.090022057767,545604200.498,66.6,17783399412496.6,1.34517813817452,8485.42025780464,4.00452204911863,446.49690890404,75.7338497054699,2095759417.0
T4,East Asia & Pacific (IDA & IBRD countries),2019,289300101.805405,ST.INT.ARVL,East Asia & Pacific (IDA & IBRD countries),131.494477158156,1003417980.1326,60.4,17481802738366.4,5.88571324697395,8379.40686898285,3.83376188646399,414.626630826231,75.8042877234534,2086281644.0
T4,East Asia & Pacific (IDA & IBRD countries),2018,277743234.61904,ST.INT.ARVL,East Asia & Pacific (IDA & IBRD countries),130.770644859426,964270665.095903,55.6,16881313468532.0,6.53703606587011,8136.36881824421,3.65628208560456,388.626495910689,75.6101241544348,2074796982.0
XC,Euro area,2024,,ST.INT.ARVL,Euro area,,,,16406126934435.8,0.863297007609859,46724.355622795,,,,351125804.0
XC,Euro area,2023,,ST.INT.ARVL,Euro area,,,,15787238118091.4,0.418696305054439,45068.7010930397,,,82.1920076156423,350292725.0
XC,Euro area,2022,,ST.INT.ARVL,Euro area,127.437377049031,,,14452407617089.9,3.54315414330438,41446.4322827569,,4414.09742965593,81.6212237452298,348700885.0
XC,Euro area,2021,,ST.INT.ARVL,Euro area,126.88812174621,252461520.31,,14918539971043.3,6.35844742787222,42967.2551656434,,4786.25865840534,81.5839330415712,347207191.0
XC,Euro area,2020,,ST.INT.ARVL,Euro area,126.815416504565,190032931.787,,13266853301191.7,-6.04639111246462,38234.5335889285,5.15414654698754,4261.74086179939,81.4873571657503,346986142.0
XC,Euro area,2019,655573447.522239,ST.INT.ARVL,Euro area,126.636297354644,639868656.158,,13587001830079.4,1.6275605718828,39212.5111497975,5.17957003976498,3990.21968966247,82.2804211551829,346496601.0
XC,Euro area,2018,638607601.5625,ST.INT.ARVL,Euro area,126.404243914838,584797943.268714,,13868034531052.8,1.77051257178987,40096.712205156,5.22555398920092,4043.7270058732,82.0027602577719,345864630.0
